_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600134;DUPONT;CERAMIQUE;;CONCERTO Cuvette  WC  Suspendue CONCERTO 2  blanc;ALTERNA;UN;134,64;95,93
600135;DUPONT;CERAMIQUE;;CONCERTO Lavabo  60x46 CONCERTO 2 blanc;ALTERNA;UN;17,35;12,36
600136;DUPONT;CERAMIQUE;;CONCERTO Lavabo  60x47 PRIMEO 2 blanc;ALTERNA;UN;27,55;19,63
600137;DUPONT;CERAMIQUE;;CONCERTO Lave main 40/33 blanc;ALTERNA;UN;53,04;37,79
600138;DUPONT;CERAMIQUE;;CONCERTO Lave main 47/36 blanc;ALTERNA;UN;53,04;37,79
600139;DUPONT;CERAMIQUE;;CONCERTO Lave main 50/23 blanc;ALTERNA;UN;47,60;33,92
600140;DUPONT;CERAMIQUE;;CONCERTO Pack CONCERTO 2 WC SH blanc;ALTERNA;UN;132,00;94,05
600141;DUPONT;CERAMIQUE;;CONCERTO Vasque à poser Quadra blanc 42/44 ss tp;ALTERNA;UN;145,33;103,55
600142;DUPONT;CERAMIQUE;;CONCERTO Vasque à poser Quadra blanc 50/48 av tp;ALTERNA;UN;106,66;80,00
600143;DUPONT;CERAMIQUE;;CONCERTO Vasque Bol  D 40 ss plage de rob blanc;ALTERNA;UN;78,66;56,05
600144;DUPONT;CERAMIQUE;;CONCERTO Vasque CONCERTO 55/45,50 blanc;ALTERNA;UN;47,60;33,92
600145;DUPONT;CERAMIQUE;;CONCERTO Vasque PRIMEO 2 54x43 blanc;ALTERNA;UN;30,00;21,38
600146;DUPONT;CERAMIQUE;;CONCERTOLave main angle blanc;ALTERNA;UN;61,20;43,61
600147;DUPONT;CERAMIQUE;;Pack CONCERTO 2 Surélevé WC SH blanc;ALTERNA;UN;213,18;151,89
600148;DUPONT;CERAMIQUE;;PRIMEO Cuvette  WC  Suspendue PRESIDENT  blanc;ALTERNA;UN;45,33;32,30
600149;DUPONT;CERAMIQUE;;PRIMEO Cuvette  WC  Suspendue PRIMEO 2  blanc;ALTERNA;UN;92,70;66,05
600150;DUPONT;CERAMIQUE;;PRIMEO Pack WC PRIMEO 2 SH blanc;ALTERNA;UN;101,97;72,65
600151;DUPONT;CERAMIQUE;;SEDUCTA Cuvette  WC  Suspendue SEDUCTA  blanc;ALTERNA;UN;169,94;121,08
600152;DUPONT;CERAMIQUE;;SEDUCTA Pack SEDUCTA WC SH blanc;ALTERNA;UN;204,97;146,04
600153;DUPONT;CHAUFFE EAU ELECTRIQUE;;Entonnoir siphon à coller;ALTERNA;UN;2,37;1,07
600154;DUPONT;CHAUFFE EAU ELECTRIQUE;;Groupe de sécurité NF 20/27 COMAP;ALTERNA;UN;16,03;8,78
600155;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 100;ALTERNA;UN;197,57;140,77
600156;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 15 SOUS EVIER ;ALTERNA;UN;157,73;112,38
600157;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 15 SUR EVIER ;ALTERNA;UN;157,73;112,38
600158;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 150;ALTERNA;UN;228,19;162,59
600159;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 200;ALTERNA;UN;258,82;184,41
600160;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 50;ALTERNA;UN;207,29;147,69
600161;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX SUR SOCLE 300;ALTERNA;UN;465,68;331,80
600162;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE STEATITE VERTICAUX MURAUX 100;ALTERNA;UN;274,73;195,75
600163;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE STEATITE VERTICAUX MURAUX 150;ALTERNA;UN;282,23;201,09
600164;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE STEATITE VERTICAUX MURAUX 200;ALTERNA;UN;320,07;228,05
600165;DUPONT;CHAUFFE EAU ELECTRIQUE;;RESISTANCE STEATITE VERTICAUX SUR SOCLE 300;ALTERNA;UN;563,57;401,54
600166;DUPONT;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 250;ALTERNA;UN;2950,00;1449,19
600167;DUPONT;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 270;ALTERNA;UN;3021,00;1676,66
600168;DUPONT;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 270;ALTERNA;UN;3250,00;2071,88
600169;DUPONT;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 270;ALTERNA;UN;2950,00;1880,63
600170;DUPONT;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 300;ALTERNA;UN;2090,00;1489,13
600171;DUPONT;CHAUFFE EAU ELECTRIQUE;;TREPIED POUR CE UNIV P/D 505-555-560;ALTERNA;UN;38,00;27,08
600172;DUPONT;EVIERS GRES INOX MEUBLES;;Evier composite  PRIMO A encastrer 1 C + 1 égouttoir 86x50 ;ALTERNA;UN;99,00;70,54
600173;DUPONT;EVIERS GRES INOX MEUBLES;;Evier composite  PRIMO A encastrer 1 C + 1/2 égouttoir 97x50 blanc;ALTERNA;UN;115,00;81,94
600174;DUPONT;EVIERS GRES INOX MEUBLES;;Evier composite  PRIMO A encastrer 2 C + 1 égouttoir 116X50 blanc ;ALTERNA;UN;129,00;91,91
600175;DUPONT;EVIERS GRES INOX MEUBLES;;Evier composite  PRIMO A poser 2 C + 1 égouttoir 120X60 blanc  ;ALTERNA;UN;129,00;91,91
600176;DUPONT;EVIERS GRES INOX MEUBLES;R60100;Evier Inox 18 /10 à poser Réversible 1 cuve+égouttoir  100x60;ALTERNA;UN;96,74;58,04
600177;DUPONT;EVIERS GRES INOX MEUBLES;R60120;Evier Inox 18 /10 à poser Réversible 1 cuve+égouttoir  120x60;ALTERNA;UN;92,88;62,69
600178;DUPONT;EVIERS GRES INOX MEUBLES;R60080;Evier Inox 18 /10 à poser Réversible 1 cuve+égouttoir  80x60;ALTERNA;UN;98,22;58,93
600179;DUPONT;EVIERS GRES INOX MEUBLES;R60090;Evier Inox 18 /10 à poser Réversible 1 cuve+égouttoir  90x60;ALTERNA;UN;98,22;58,93
600180;DUPONT;EVIERS GRES INOX MEUBLES;EPBM120A;Evier Inox 18 /10 à poser Réversible 2 cuve+égouttoir  120x60;ALTERNA;UN;110,00;63,94
600181;DUPONT;EVIERS GRES INOX MEUBLES;EPBV140A;Evier Inox 18 /10 à poser Réversible 2 cuve+égouttoir  140x60;ALTERNA;UN;131,06;93,38
600182;DUPONT;HYDROTHERAPIE;;Ens. Douche CONCERTO 2 jets;ALTERNA;UN;28,93;20,61
600183;DUPONT;HYDROTHERAPIE;;Ens. Douche PRIMEO 1 jet chr;ALTERNA;UN;23,55;16,78
600184;DUPONT;HYDROTHERAPIE;;Ens. Douche SEDUCTA 3 jets;ALTERNA;UN;52,48;37,39
600185;DUPONT;HYDROTHERAPIE;;Set de douche CONCERTO 2 jets chr;ALTERNA;UN;21,28;15,16
600186;DUPONT;HYDROTHERAPIE;;Set de douche PRIMEO 1 jet chr;ALTERNA;UN;15,67;11,16
600187;DUPONT;HYDROTHERAPIE;;Set de douche SEDUCTA 3 jets chr;ALTERNA;UN;39,32;28,02
600188;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 120   Meuble bas 1200 x 340;ALTERNA;UN;244,94;174,52
600189;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 120   Miroir + bandeau 120;ALTERNA;UN;122,90;87,57
600190;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 120  Plan marbre pour 2 vasques 1200 x 500;ALTERNA;UN;100,97;71,94
600191;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 60 Meuble bas 600 x 340;ALTERNA;UN;107,12;76,32
600192;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 60 Miroir + bandeau 60;ALTERNA;UN;67,60;48,17
600193;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 60 Plan marbre pour 1 vasque 600 x 500;ALTERNA;UN;45,65;32,53
600194;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 80  Meuble bas 800 x 340;ALTERNA;UN;173,82;123,85
600195;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 80  Miroir + bandeau 80;ALTERNA;UN;82,53;58,80
600196;DUPONT;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 80 Plan marbre pour 1 vasque 800 x 500;ALTERNA;UN;63,21;45,04
600197;DUPONT;MEUBLES DE SALLES DE BAINS;;Plan céramique 1 vasque 1100 x 514;ALTERNA;UN;168,34;119,94
