_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;
201893;CDL;APPAREILLAGE;ENN35029;3397236;MUREVABP2A/10AAVECPORTEETIQUETTE;SCHNEIDER;UN;14; 10,34   ;
201894;CDL;APPAREILLAGE;ENN35006;3746568;MUREVACADREPOURAPPAREILLAGE45X45SAILLIEGRISOPAQUE;SCHNEIDER;UN;9; 6,35   ;
201895;CDL;APPAREILLAGE;ENN34012;3746559;MUREVADOUBLEV1VENCASTREGRIS;SCHNEIDER;UN;15; 11,26   ;
201896;CDL;APPAREILLAGE;ENN35022;3012916;MUREVADOUBLEVAETVIENT;SCHNEIDER;UN;14; 10,61   ;
201897;CDL;APPAREILLAGE;ENN35067;3746545;MUREVAINTERRUPTEURTEMPORISEMECANIQUE;SCHNEIDER;UN;50; 37,06   ;
201898;CDL;APPAREILLAGE;ENN34067;3746563;MUREVAINTERRUPTEURTEMPORISEMECANIQUEENCASTREGRIS;SCHNEIDER;UN;50; 37,06   ;
201899;CDL;APPAREILLAGE;ENN34030;3746548;MUREVAPC2P+TETANCHEENCASTRE;SCHNEIDER;UN;13; 9,62   ;
201900;CDL;APPAREILLAGE;ENN36030;3012937;MUREVAPCETANCHE2P+T;SCHNEIDER;UN;7; 5,40   ;
201901;CDL;APPAREILLAGE;ENN35026;3746715;MUREVAPOUSSOIR;SCHNEIDER;UN;8; 5,80   ;
201902;CDL;APPAREILLAGE;ENN36055;3746558;MUREVAPRISEDECOMMUNICATIONETANCHERJ45FTPCAT6;SCHNEIDER;UN;25; 18,20   ;
201903;CDL;APPAREILLAGE;ENN35021;3012953;MUREVAVAETVIENT;SCHNEIDER;UN;7; 4,85   ;
201904;CDL;APPAREILLAGE;ENN35024;3746557;MUREVAVAETVIENTAVOYANT;SCHNEIDER;UN;12; 8,63   ;
201905;CDL;APPAREILLAGE;ENN34021;3746549;MUREVAVAETVIENTENCASTRE;SCHNEIDER;UN;13; 9,78   ;
201906;CDL;APPAREILLAGE;ALB71817;3758396;ACCESSOIRESDCLPOURBOITED'APPLIQUECOUVERCLENONAFFLEURANT+CONNECTEUR;SCHNEIDER;UN;3; 2,09   ;
201907;CDL;APPAREILLAGE;ALB71814;3758480;BOITED'APPLIQUEASCELLERØ67MODULO+COUVERCLE;SCHNEIDER;UN;3; 2,39   ;
201908;CDL;APPAREILLAGE;ALB71804;1691290;BOITED'APPLIQUEMULTISUPPORTSØ67MULTIFIXBOITEETCOUVERCLE;SCHNEIDER;UN;3; 2,08   ;
201909;CDL;APPAREILLAGE;IMT35027;3760071;BOITED'APPLIQUEØ67PROF.47AVECCOUVERCLENONAFFLEURANT;SCHNEIDER;UN;9; 6,71   ;
201910;CDL;APPAREILLAGE;IMT35023;3760068;BOITEDECENTREØ67PROF.50AVECCOUVERCLENONAFFLEURANT;SCHNEIDER;UN;10; 7,44   ;
201911;CDL;APPAREILLAGE;ENN04508;3012883;BOITEDEDERIVATIONASCELLER80X80X30MURABOX;SCHNEIDER;UN;3; 2,54   ;
201912;CDL;APPAREILLAGE;ENN04510;3746603;BOITEDEDERIVATIONASCELLER105X105X42MURABOX;SCHNEIDER;UN;4; 3,20   ;
201913;CDL;APPAREILLAGE;ENN04513;1372973;BOITEDEDERIVATIONASCELLER135X135X47MURABOX;SCHNEIDER;UN;7; 4,97   ;
201914;CDL;APPAREILLAGE;ENN04515;3012879;BOITEDEDERIVATIONASCELLER160X100X45MURABOX;SCHNEIDER;UN;7; 5,02   ;
201915;CDL;APPAREILLAGE;ENN04516;1372974;BOITEDEDERIVATIONASCELLER165X165X47MURABOX;SCHNEIDER;UN;8; 6,01   ;
201916;CDL;APPAREILLAGE;ENN04520;1372975;BOITEDEDERIVATIONASCELLER220X160X45MURABOX;SCHNEIDER;UN;12; 9,00   ;
