_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;;
500150;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;BF ens barre/douchette ELIOS JET 4 jets;EUROBASIC;un;31,61;22,58;;;;;;;
500151;brossette;ENSEMBLE DE DOUCHE;EUROBASIC;BF ens barre/douchette ELIOS TOP 3 jets;EUROBASIC;un;60,59;43,28;;;;;;;
500152;brossette;ENSEMBLE DE DOUCHE;28571000;GROHE Ens MOVARIO FIVE;EUROBASIC;un;278,66;199,04;;;;;;;
500153;brossette;ENSEMBLE DE DOUCHE;28591000;GROHE Ens TEMPESTA;EUROBASIC;un;64,08;45,77;;;;;;;
500154;brossette;ENSEMBLE DE DOUCHE;27004000;GROHE FREEHANDER Alim App;EUROBASIC;un;443,27;316,62;;;;;;;
500155;brossette;ENSEMBLE DE DOUCHE;;rosace pour montage mural;EUROBASIC;un;1,88;1,34;;;;;;;
500156;brossette;PORTE OUVRANTE;;ouvrante totale 68-76;NABIS;un;335,34;239,53;;;;;;;
500157;brossette;PORTE OUVRANTE;;ouvrante totale 76-84;NABIS;un;352,66;251,90;;;;;;;
500158;brossette;PORTE OUVRANTE;;ouvrante totale 84-92;NABIS;un;366,55;261,82;;;;;;;
500159;brossette;PORTE OUVRANTE;;ouvrante totale 92-100;NABIS;un;385,04;275,03;;;;;;;
500160;brossette;PORTE PIVOTANTE;;porte pivotante 66,5-72,5;NABIS;un;277,73;198,38;;;;;;;
500161;brossette;PORTE PIVOTANTE;;porte pivotante 76,5-82,5;NABIS;un;301,20;215,14;;;;;;;
500162;brossette;PORTE PIVOTANTE;;porte pivotante 86,5-92,5;NABIS;un;315,84;225,60;;;;;;;
500163;brossette;PORTE BATTANTES;;deux volets battants int/ext 66,5-72,5;NABIS;un;337,05;240,75;;;;;;;
500164;brossette;PORTE BATTANTES;;deux volets battants int/ext 46,5-82,5;NABIS;un;353,19;252,28;;;;;;;
500165;brossette;PORTE BATTANTES;;deux volets battants int-ext 86,5-92,5;NABIS;un;362,31;258,79;;;;;;;
500166;brossette;PORTES PLIANTES;;deux volets pliants int 68-76;NABIS;un;538,85;384,89;;;;;;;
500167;brossette;PORTES PLIANTES;;deux volets pliants int 76-84;NABIS;un;564,33;403,09;;;;;;;
500168;brossette;PORTES PLIANTES;;deux volets pliants int 84-92;NABIS;un;593,21;423,72;;;;;;;
500169;brossette;PORTES PLIANTES;;deux volets pliants int 92-100;NABIS;un;614,00;438,57;;;;;;;
500170;brossette;PORTE COULISSANTE;;porte coulissante 76,5-82,5;NABIS;un;389,03;277,88;;;;;;;
500171;brossette;PORTE COULISSANTE;;porte coulissante 86,5-92,5;NABIS;un;412,54;294,67;;;;;;;
500172;brossette;PORTE COULISSANTE;;porte coulissante 96,5-102,5;NABIS;un;425,53;303,95;;;;;;;
500173;brossette;PORTE COULISSANTE;;porte coulissante 116,5-122,5;NABIS;un;457,42;326,73;;;;;;;
500174;brossette;PAROI FIXE;;paroi fixe 66,5-69,5;NABIS;un;198,35;141,68;;;;;;;
500175;brossette;PAROI FIXE;;paroi fixe 76,5-79,5;NABIS;un;211,85;151,32;;;;;;;
500176;brossette;PAROI FIXE;;paroi fixe 86,5-89,5;NABIS;un;222,25;158,75;;;;;;;
500177;brossette;PAROI FIXE;;paroi fixe 68-76;NABIS;un;267,34;190,96;;;;;;;
