_ID;FOURNISSEUR;FAMILLE;S_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900079;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LNO-172-050-IFS;29238368;RADIATEURSECHE-SERVIETTESCALA+AIREC578+1000WCHROME;ACOVA;1;1621,36;1084,25
900080;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-112-050-IFS;29238364;RADIATEURSECHE-SERVIETTESCALA+AIREC612+1000WBLANC;ACOVA;1;442,24;279,31
900081;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-172-050-IFS;29238365;RADIATEURSECHE-SERVIETTESCALA+AIREC880+1000WBLANC;ACOVA;1;490,18;309,59
900082;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-180-050-IFS;29238366;RADIATEURSECHE-SERVIETTESCALA+AIREC973+1000WBLANC;ACOVA;1;503,95;318,28
900083;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-100-050-IF;29232433;RADIATEURSECHE-SERVIETTESCALA+AIRELEC1000+1000WBLANC;ACOVA;1;587,61;371,12
900084;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLNO-030-050-IFS;29232359;RADIATEURSECHE-SERVIETTESCALA+AIRELEC300+1000WCHROME;ACOVA;1;1037,51;693,81
900085;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLNO-050-050-IFS;29232360;RADIATEURSECHE-SERVIETTESCALA+AIRELEC500+1000WCHROME;ACOVA;1;1089,84;728,81
900086;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-072-050;29000518;RADIATEURSECHE-SERVIETTESCALAEC378W;ACOVA;1;230,52;143,90
900087;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-112-045;29002240;RADIATEURSECHE-SERVIETTESCALAEC547W;ACOVA;1;249,59;152,26
900088;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-112-050;29000698;RADIATEURSECHE-SERVIETTESCALAEC612W;ACOVA;1;267,24;166,82
900089;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-168-050;29000693;RADIATEURSECHE-SERVIETTESCALAEC880W;ACOVA;1;315,18;196,75
900090;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-176-050;29000528;RADIATEURSECHE-SERVIETTESCALAEC973W;ACOVA;1;328,95;205,34
900091;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LN-176-060;29000529;RADIATEURSECHE-SERVIETTESCALAEC1133W;ACOVA;1;342,62;213,88
900092;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-050-050;29520082;RADIATEURSECHE-SERVIETTESCALAELECT500W;ACOVA;1;285,00;180,00
900093;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-050-050-TF;29001915;RADIATEURSECHE-SERVIETTESCALAELECT500W;ACOVA;1;382,30;233,22
900094;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LND-116-050;29232294;RADIATEURSECHE-SERVIETTESCALADOUBLEEC855W;ACOVA;1;514,28;324,81
900095;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LND-176-050;29232302;RADIATEURSECHE-SERVIETTESCALADOUBLEEC1298W;ACOVA;1;661,88;418,03
900096;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-075-050;29520056;RADIATEURSECHE-SERVIETTESCALAELECT750W;ACOVA;1;317,84;200,74
900097;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-075-050-TF;29001916;RADIATEURSECHE-SERVIETTESCALAELECT750W;ACOVA;1;415,14;253,26
900098;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-075-050-TF;29001916;RADIATEURSECHE-SERVIETTESCALAELECT0750W;ACOVA;1;415,14;253,26
900099;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-100-050;29520114;RADIATEURSECHE-SERVIETTESCALAELECT1000W;ACOVA;1;382,61;241,65
900100;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-100-050-TF;29001917;RADIATEURSECHE-SERVIETTESCALAELECT1000W;ACOVA;1;479,91;292,77
900101;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-125-060;29520112;RADIATEURSECHE-SERVIETTESCALAELECT1250W;ACOVA;1;453,40;286,36
900102;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TLN-125-060-TF;29232320;RADIATEURSECHE-SERVIETTESCALAELECT1250W;ACOVA;1;550,70;347,81
900103;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;ALN-112-050-IF;29238280;RADIATEURSECHE-SERVIETTESCALASPAEC612W/E600WMIXTEBLANC;ACOVA;1;494,39;312,25
900104;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;ALN-168-050-IF;29238281;RADIATEURSECHE-SERVIETTESCALASPAEC880W/E600WMIXTEBLANC;ACOVA;1;529,18;334,22
900105;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;LND-176-060;29232304;RADIATEURSECHE-SERVIETTESDOUBLECALAEC1543W;ACOVA;1;713,08;450,37
