_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600148;dupont;CERAMIQUE;;PRIMEO Cuvette  WC  Suspendue PRESIDENT  blanc;ALTERNA;UN;45,33;32,3
600149;dupont;CERAMIQUE;;PRIMEO Cuvette  WC  Suspendue PRIMEO 2  blanc;ALTERNA;UN;92,7;66,05
600150;dupont;CERAMIQUE;;PRIMEO Pack WC PRIMEO 2 SH blanc;ALTERNA;UN;101,97;72,65
600151;dupont;CERAMIQUE;;SEDUCTA Cuvette  WC  Suspendue SEDUCTA  blanc;ALTERNA;UN;169,94;121,08
600152;dupont;CERAMIQUE;;SEDUCTA Pack SEDUCTA WC SH blanc;ALTERNA;UN;204,97;146,04
600153;dupont;CHAUFFE EAU ELECTRIQUE;;Entonnoir siphon à coller;ALTERNA;UN;2,37;1,07
600154;dupont;CHAUFFE EAU ELECTRIQUE;;Groupe de sécurité NF 20/27 COMAP;ALTERNA;UN;16,03;8,78
600155;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 100;ALTERNA;UN;197,57;140,77
600156;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 15 SOUS EVIER ;ALTERNA;UN;157,73;112,38
600157;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 15 SUR EVIER ;ALTERNA;UN;157,73;112,38
600158;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 150;ALTERNA;UN;228,19;162,59
600159;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 200;ALTERNA;UN;258,82;184,41
600160;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX MURAUX 50;ALTERNA;UN;207,29;147,69
600161;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE BLINDEE VERTICAUX SUR SOCLE 300;ALTERNA;UN;465,68;331,8
600162;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE STEATITE VERTICAUX MURAUX 100;ALTERNA;UN;274,73;195,75
600163;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE STEATITE VERTICAUX MURAUX 150;ALTERNA;UN;282,23;201,09
600164;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE STEATITE VERTICAUX MURAUX 200;ALTERNA;UN;320,07;228,05
600165;dupont;CHAUFFE EAU ELECTRIQUE;;RESISTANCE STEATITE VERTICAUX SUR SOCLE 300;ALTERNA;UN;563,57;401,54
600166;dupont;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 250;ALTERNA;UN;2950;1449,19
600167;dupont;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 270;ALTERNA;UN;3021;1676,66
600168;dupont;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 270;ALTERNA;UN;3250;2071,88
600169;dupont;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 270;ALTERNA;UN;2950;1880,63
600170;dupont;CHAUFFE EAU ELECTRIQUE;;THERMODYNAMIQUE 300;ALTERNA;UN;2090;1489,13
600171;dupont;CHAUFFE EAU ELECTRIQUE;;TREPIED POUR CE UNIV P/D 505-555-560;ALTERNA;UN;38;27,08
600172;dupont;EVIERS GRES INOX MEUBLES;;Evier composite  PRIMO A encastrer 1 C + 1 égouttoir 86x50 ;ALTERNA;UN;99;70,54
600173;dupont;EVIERS GRES INOX MEUBLES;;Evier composite  PRIMO A encastrer 1 C + 1/2 égouttoir 97x50 blanc;ALTERNA;UN;115;81,94
600174;dupont;EVIERS GRES INOX MEUBLES;;Evier composite  PRIMO A encastrer 2 C + 1 égouttoir 116X50 blanc ;ALTERNA;UN;129;91,91
600175;dupont;EVIERS GRES INOX MEUBLES;;Evier composite  PRIMO A poser 2 C + 1 égouttoir 120X60 blanc  ;ALTERNA;UN;129;91,91
600176;dupont;EVIERS GRES INOX MEUBLES;R60100;Evier Inox 18 /10 à poser Réversible 1 cuve+égouttoir  100x60;ALTERNA;UN;96,74;58,04
600177;dupont;EVIERS GRES INOX MEUBLES;R60120;Evier Inox 18 /10 à poser Réversible 1 cuve+égouttoir  120x60;ALTERNA;UN;92,88;62,69
600178;dupont;EVIERS GRES INOX MEUBLES;R60080;Evier Inox 18 /10 à poser Réversible 1 cuve+égouttoir  80x60;ALTERNA;UN;98,22;58,93
600179;dupont;EVIERS GRES INOX MEUBLES;R60090;Evier Inox 18 /10 à poser Réversible 1 cuve+égouttoir  90x60;ALTERNA;UN;98,22;58,93
600180;dupont;EVIERS GRES INOX MEUBLES;EPBM120A;Evier Inox 18 /10 à poser Réversible 2 cuve+égouttoir  120x60;ALTERNA;UN;110;63,94
600181;dupont;EVIERS GRES INOX MEUBLES;EPBV140A;Evier Inox 18 /10 à poser Réversible 2 cuve+égouttoir  140x60;ALTERNA;UN;131,06;93,38
600182;dupont;HYDROTHERAPIE;;Ens. Douche CONCERTO 2 jets;ALTERNA;UN;28,93;20,61
600183;dupont;HYDROTHERAPIE;;Ens. Douche PRIMEO 1 jet chr;ALTERNA;UN;23,55;16,78
600184;dupont;HYDROTHERAPIE;;Ens. Douche SEDUCTA 3 jets;ALTERNA;UN;52,48;37,39
600185;dupont;HYDROTHERAPIE;;Set de douche CONCERTO 2 jets chr;ALTERNA;UN;21,28;15,16
600186;dupont;HYDROTHERAPIE;;Set de douche PRIMEO 1 jet chr;ALTERNA;UN;15,67;11,16
600187;dupont;HYDROTHERAPIE;;Set de douche SEDUCTA 3 jets chr;ALTERNA;UN;39,32;28,02
600188;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 120   Meuble bas 1200 x 340;ALTERNA;UN;244,94;174,52
600189;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 120   Miroir + bandeau 120;ALTERNA;UN;122,9;87,57
600190;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 120  Plan marbre pour 2 vasques 1200 x 500;ALTERNA;UN;100,97;71,94
600191;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 60 Meuble bas 600 x 340;ALTERNA;UN;107,12;76,32
600192;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 60 Miroir + bandeau 60;ALTERNA;UN;67,6;48,17
600193;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 60 Plan marbre pour 1 vasque 600 x 500;ALTERNA;UN;45,65;32,53
600194;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 80  Meuble bas 800 x 340;ALTERNA;UN;173,82;123,85
600195;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 80  Miroir + bandeau 80;ALTERNA;UN;82,53;58,8
600196;dupont;MEUBLES DE SALLES DE BAINS;;MEUBLE VASQUE ALTERNA TOLEDE 80 Plan marbre pour 1 vasque 800 x 500;ALTERNA;UN;63,21;45,04
600197;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique 1 vasque 1100 x 514;ALTERNA;UN;168,34;119,94
600198;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique 1 vasque 550 x 514;ALTERNA;UN;81,65;58,18
600199;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique 1 vasque 850 x 514;ALTERNA;UN;106,22;75,68
600200;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique Meuble bas 1050 x 340;ALTERNA;UN;199,29;141,99
600201;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique Meuble bas 500 x 340;ALTERNA;UN;107,98;76,94
600202;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique Meuble bas 800 x 340;ALTERNA;UN;178,9;127,47
600203;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique Miroir + bandeau 110;ALTERNA;UN;112,37;80,06
600204;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique Miroir + bandeau 50;ALTERNA;UN;70,24;50,05
600205;dupont;MEUBLES DE SALLES DE BAINS;;Plan céramique Miroir + bandeau 80;ALTERNA;UN;82,53;58,8
600206;dupont;PAROI DE DOUCHE;;70;ALTERNA;UN;193,33;137,75
