_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
200847;Socolec;SECURITECOMMUNICATION;;6110030;00050110030;INTEGRATEURTHERMIQUERADIOTYWATT5200POURCOMPTAGECONSOMMATIONCALORIFIQUZETECS;DELTADORE;UN;252,28;103,57
200848;Socolec;SECURITECOMMUNICATION;;6053010;00050053010;THERMOSTATD'AMBIANCEDIGITALRADIOTYBOX237HEBDO.;DELTADORE;UN;401,22;160,49
200849;Socolec;SECURITECOMMUNICATION;;6053001;00050053001;THERMOSTATD'AMBIANCEFILAIRETYBOX31APILES;DELTADORE;UN;134,34;49,49
200850;Socolec;APPAREILLAGE;;EK481;05083231481;GESTIONNAIRED'ENERGIE1ZONERT2012BLANC;HAGER;UN;755,84;286,22
200851;Socolec;APPAREILLAGE;;EK482;05083231482;GESTIONNAIRED'ENERGIE2ZONESRT2012BLANC;HAGER;UN;804,31;305,64
200852;Socolec;APPAREILLAGE;;EK483;05083231483;GESTIONNAIRED'ENERGIE3ZONESRT2012BLANC;HAGER;UN;1075,84;408,82
200853;Socolec;APPAREILLAGE;;49110;00063049110;GESTIONNAIRED'ENERGIECONFORT1ZONE7J;HAGER;UN;495,07;191,99
200854;Socolec;APPAREILLAGE;;49111;00063049111;GESTIONNAIRED'ENERGIECONFORT2ZONES7J;HAGER;UN;557,82;220,56
200855;Socolec;APPAREILLAGE;;49112;00063049112;GESTIONNAIRED'ENERGIECONFORT3ZONES7J;HAGER;UN;809,34;313,86
200856;Socolec;APPAREILLAGE;;49353;00063049353;GESTIONNAIRED'ENERGIESIMPLIFIEHEBDOMADAIRE7J1ZONE1;HAGER;UN;431,50;163,40
200857;Socolec;APPAREILLAGE;;49354;00063049354;GESTIONNAIRED'ENERGIESIMPLIFIEHEBDOMADAIRE7J2ZONES;HAGER;UN;512,52;198,76
200858;Socolec;APPAREILLAGE;;49351;00063049351;GESTIONNAIRED'ENERGIESIMPLIFIEJOURNALIER24H1ZONE;HAGER;UN;362,08;140,42
200859;Socolec;APPAREILLAGE;;49352;00063049352;GESTIONNAIRED'ENERGIESIMPLIFIEJOURNALIER24H2ZONES;HAGER;UN;464,73;180,22
200860;Socolec;SECURITECOMMUNICATION;;QTH02EWEU;X;THERMOSTATD'AMBIANCECONNECTEPOURCHAUFFAGEELEC;QIVIVO;UN;;
200861;Socolec;SECURITECOMMUNICATION;;QSTU2EWEU;X;THERMOSTATD'AMBIANCECONNECTEPOURCHAUFFAGEELEC+CARTEABONNEMENTINTERNET3MOIS;QIVIVO;UN;;
200862;Socolec;SECURITECOMMUNICATION;;QTH01GWEU;X;THERMOSTATD'AMBIANCECONNECTEPOURCHAUFFAGEGAZ/FIOUL/BOIS/POMPEACHALEUR;QIVIVO;UN;;
200863;Socolec;SECURITECOMMUNICATION;;QSTU1GWEU;X;THERMOSTATD'AMBIANCECONNECTEPOURCHAUFFAGEGAZ/FIOUL/BOIS/POMPEACHALEUR+CARTED'ABONNEMENT3MOIS;QIVIVO;UN;;
