_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900099;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N66;12110235;COUDENOIRFFN'2DE66/76;VALFITGROUPESAS;UNITE;89,21;0
900100;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;2N80;12110250;COUDENOIRFFN'2DE80/90;VALFITGROUPESAS;UNITE;112,02;0
900101;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N8;12110417;COUDENOIRMFN'40DE8/13;VALFITGROUPESAS;UNITE;11,84;0
900102;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N12;12110425;COUDENOIRMFN'40DE12/17;VALFITGROUPESAS;UNITE;5,65;0
900103;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N15;12110433;COUDENOIRMFN'40DE15/21;VALFITGROUPESAS;UNITE;5,25;0
900104;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N20;12110441;COUDENOIRMFN'40DE20/27;VALFITGROUPESAS;UNITE;6,98;0
900105;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N26;12110458;COUDENOIRMFN'40DE26/34;VALFITGROUPESAS;UNITE;9,95;0
900106;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N33;12110466;COUDENOIRMFN'40DE33/42;VALFITGROUPESAS;UNITE;17,17;0
900107;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N40;12110474;COUDENOIRMFN'40DE40/49;VALFITGROUPESAS;UNITE;20,61;0
900108;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N50;12110482;COUDENOIRMFN'40DE50/60;VALFITGROUPESAS;UNITE;32,38;0
900109;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N66;12110508;COUDENOIRMFN'40DE66/76;VALFITGROUPESAS;UNITE;70,78;0
900110;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;40N80;12110516;COUDENOIRMFN'40DE80/90;VALFITGROUPESAS;UNITE;77,14;0
900111;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;41N12;12110557;COUDENOIRFFN'41DE12/17;VALFITGROUPESAS;UNITE;12,23;0
900112;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;41N15;12110565;COUDENOIRFFN'41DE15/21;VALFITGROUPESAS;UNITE;6,35;0
900113;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;41N20;12110573;COUDENOIRFFN'41DE20/27;VALFITGROUPESAS;UNITE;7,76;0
900114;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;41N26;12110581;COUDENOIRFFN'41DE26/34;VALFITGROUPESAS;UNITE;10,04;0
900115;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;41N33;12110599;COUDENOIRFFN'41DE33/42;VALFITGROUPESAS;UNITE;17,79;0
900116;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;41N40;12110607;COUDENOIRFFN'41DE40/49;VALFITGROUPESAS;UNITE;23,36;0
900117;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;41N50;12110615;COUDENOIRFFN'41DE50/60;VALFITGROUPESAS;UNITE;33,08;0
900118;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;41N80;12110649;COUDENOIRFFN'41DE80/90;VALFITGROUPESAS;UNITE;154,66;0
900119;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N5;12110664;COUDENOIRFFN'90DE5/10;VALFITGROUPESAS;UNITE;6,35;0
900120;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N8;12110672;COUDENOIRFFN'90DE8/13;VALFITGROUPESAS;UNITE;2,82;0
900121;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N12;12110680;COUDENOIRFFN'90DE12/17;VALFITGROUPESAS;UNITE;2,28;0
900122;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N15;12110698;COUDENOIRFFN'90DE15/21;VALFITGROUPESAS;UNITE;1,49;0
900123;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N20;12110706;COUDENOIRFFN'90DE20/27;VALFITGROUPESAS;UNITE;2,43;0
900124;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N26;12110714;COUDENOIRFFN'90DE26/34;VALFITGROUPESAS;UNITE;3,76;0
900125;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N33;12110722;COUDENOIRFFN'90DE33/42;VALFITGROUPESAS;UNITE;7,29;0
900126;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N40;12110730;COUDENOIRFFN'90DE40/49;VALFITGROUPESAS;UNITE;11,68;0
900127;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N50;12110748;COUDENOIRFFN'90DE50/60;VALFITGROUPESAS;UNITE;13,56;0
900128;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N66;12110763;COUDENOIRFFN'90DE66/76;VALFITGROUPESAS;UNITE;39,67;0
900129;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N80;12110771;COUDENOIRFFN'90DE80/90;VALFITGROUPESAS;UNITE;55,27;0
900130;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N1512;12110839;COUDENOIRFFN'90DE15/12;VALFITGROUPESAS;UNITE;3,14;0
900131;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N2015;12110870;COUDENOIRFFN'90DE20/15;VALFITGROUPESAS;UNITE;3,68;0
900132;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N2615;12110912;COUDENOIRFFN'90DE26/15;VALFITGROUPESAS;UNITE;4,86;0
900133;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;90N3326;12110979;COUDENOIRFFN'90DE33/26;VALFITGROUPESAS;UNITE;8,62;0
900134;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N5;12111050;COUDENOIRMFN'92DE5/10;VALFITGROUPESAS;UNITE;7,37;0
900135;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N8;12111068;COUDENOIRMFN'92DE8/13;VALFITGROUPESAS;UNITE;2,9;0
900136;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N12;12111076;COUDENOIRMFN'92DE12/17;VALFITGROUPESAS;UNITE;2,82;0
900137;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N15;12111084;COUDENOIRMFN'92DE15/21;VALFITGROUPESAS;UNITE;1,88;0
900138;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N20;12111092;COUDENOIRMFN'92DE20/27;VALFITGROUPESAS;UNITE;2,97;0
900139;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N26;12111100;COUDENOIRMFN'92DE26/34;VALFITGROUPESAS;UNITE;4,78;0
900140;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N33;12111118;COUDENOIRMFN'92DE33/42;VALFITGROUPESAS;UNITE;8,7;0
900141;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N40;12111126;COUDENOIRMFN'92DE40/49;VALFITGROUPESAS;UNITE;12,7;0
