_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
170850;CDL;FILS ET CABLES;neant;RO2V 5 G 1,5;neant;CE;;
170851;CDL;FILS ET CABLES;neant;RO2V 5 G 2,5;neant;CE;;
170852;CDL;FILS ET CABLES;neant;RO2V 5 G 4;neant;CE;;
170853;CDL;FILS ET CABLES;neant;RO2V 5 G 6;neant;CE;;
170854;CDL;FILS ET CABLES;neant;RO2V 5 G 10;neant;CE;;
170855;CDL;FILS ET CABLES;neant;RO2V 5 G 16;neant;CE;;
170856;CDL;FILS ET CABLES;neant;RO2V 7 G 1,5;neant;CE;;
170857;CDL;FILS ET CABLES;neant;RO2V 4 X 10 SVJ;neant;CE;;
170858;CDL;FILS ET CABLES;neant;RO2V 4 X 16 SVJ;neant;CE;;
170859;CDL;FILS ET CABLES;neant;RO2V 4 X 25 SVJ;neant;CE;;
170860;CDL;FILS ET CABLES;neant;RO2V 4 X 35 SVJ;neant;CE;;
170861;CDL;FILS ET CABLES;neant;3 G 1,5;neant;CE;;
170862;CDL;FILS ET CABLES;neant;4 G 1,5;neant;CE;;
170863;CDL;FILS ET CABLES;neant;2 X 1,5 ;neant;CE;;
170864;CDL;FILS ET CABLES;neant;2 P 0,5;neant;CE;;
170865;CDL;FILS ET CABLES;neant;2 P 0,75;neant;CE;;
170866;CDL;FILS ET CABLES;neant;3 P 0,5;neant;CE;;
170867;CDL;FILS ET CABLES;neant;3 P 0,75;neant;CE;;
170868;CDL;FILS ET CABLES;neant;4 P 0,5;neant;CE;;
170869;CDL;FILS ET CABLES;neant;4 P 0,75;neant;CE;;
170870;CDL;FILS ET CABLES;250400;Blindé 2 P 0,6 (4x0,6);neant;CE;129;64,56
170871;CDL;FILS ET CABLES;250401;Non Blindé 2 P 0,6 (4x0,6);neant;CE;51;25,42
170872;CDL;FILS ET CABLES;251239;GRADE 1   4 P 0,5;neant;CE;70;34,87
