ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au;PRIX DE BASE;PRIX NET;;;;
70153;;GENIE CLIMATIQUE;B2TATAA1;BOITIER AVEC 1 THERMOSTAT D'AMBIANCE RADIO/DIGITAL POUR 2 ZONES;AJTECH;UN;355;244,72;;;;
70154;CDL;GENIE CLIMATIQUE;BCPCA1;BOUTEILLE CASSE PRESSION 2 LITRES AVEC CIRCULATEUR;AJTECH;UN;498;343,28;;;;
70155;CDL;GENIE CLIMATIQUE;BCPA1;BOUTEILLE CASSE PRESSION 2 LITRES SANS CIRCULATEUR;AJTECH;UN;318;219,52;;;;
70156;CDL;GENIE CLIMATIQUE;BMRA1;BOUTEILLE DE MELANGE REGULEE AVEC 1 SONDE EXTERIEURE POUR 2 T° D'EAU DIFFERENTES;AJTECH;UN;1275;879,12;;;;
70157;CDL;GENIE CLIMATIQUE;BMTA1;BOUTEILLE DE MELANGE THERMOSTATIQUE AVEC 1 THERMOSTAT D'AMBIANCE POUR 2 T° D'EAU DIFFERENTES;AJTECH;UN;825;568,96;;;;
70158;;GENIE CLIMATIQUE;PKECS540A1A;CHAUFFE EAU GEOTHERMIQUE GEOSAN 540  200L  + SON CAPTEUR FRIGORIFIQUE EN CUIVRE AVEC PROTECTION EXTRUDEE;AJTECH;UN;2306;1 590,40;;;;
70159;;GENIE CLIMATIQUE;PKECSA920A1A;CHAUFFE EAU THERMODYNAMIQUE AEROSAN 920  200L SANS LIAISON FRIGORIFIQUES;AJTECH;UN;2428;1 674,40;;;;
70160;CDL;GENIE CLIMATIQUE;BTI1003KITA1;KIT BALLON TAMPON INOX 100 LITRES + BOITIER REGULATION;AJTECH;UN;800;551,60;;;;
70161;CDL;GENIE CLIMATIQUE;1370060002;PAC AIR/EAU SPLIT TIVANO 060 MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW. S/S CUVE ECS;AJTECH;UN;4554;3 140,48;;;;
70162;CDL;GENIE CLIMATIQUE;1321080057;PAC AIR/EAU SPLIT ZURAN 080 INVERTER MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW.;AJTECH;UN;7539;5 199,04;;;;
70163;CDL;GENIE CLIMATIQUE;1321080058;PAC AIR/EAU SPLIT ZURAN 080 INVERTER MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW.;AJTECH;UN;7548;5 205,20;;;;
70164;CDL;GENIE CLIMATIQUE;1321100129;"PAC AIR/EAU SPLIT ZURAN 100 INVERTER MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW.	";AJTECH;UN;8329;5 744,48;;;;
70165;CDL;GENIE CLIMATIQUE;1321100130;"PAC AIR/EAU SPLIT ZURAN 100 INVERTER MONO MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW.	";AJTECH;UN;8338;5 750,64;;;;
70166;CDL;GENIE CLIMATIQUE;1321100131;"PAC AIR/EAU SPLIT ZURAN 100 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW.	";AJTECH;UN;8662;5 973,52;;;;
70167;CDL;GENIE CLIMATIQUE;1321100132;"PAC AIR/EAU SPLIT ZURAN 100 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 9KW.	";AJTECH;UN;8688;5 992,00;;;;
70168;CDL;GENIE CLIMATIQUE;1321120073;"PAC AIR/EAU SPLIT ZURAN 120 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 3KW.	";AJTECH;UN;9605;6 624,24;;;;
70169;CDL;GENIE CLIMATIQUE;1321120074;"PAC AIR/EAU SPLIT ZURAN 120 INVERTER TRI MODULE HYDRAUL. INTERIEUR + UNITE EXTERIEURE REVERSIBLE AVEC APPOINT ELEC 6KW.	";AJTECH;UN;9614;6 630,40;;;;
