_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;
100119;SOCOLEC;GENIE CLIMATIQUE;11030110;00046030110;SORTIE DE TOIT STANDARD STS 160;ALDES ;1;99,50;57,71;;;;;;
100120;SOCOLEC;GENIE CLIMATIQUE;11033100;00046033100;VMC GROUPE SEUL BAHIA;ALDES ;1;216,00;125,28;;;;;;
100121;SOCOLEC;GENIE CLIMATIQUE;11033110;00046033110;VMC GROUPE BAHIA MICROWATT BASSE CONSOMMATION;ALDES ;1;316,00;183,28;;;;;;
100122;SOCOLEC;GENIE CLIMATIQUE;11033155;00046033155;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA COMPACT 3+ HYGRO B;ALDES ;1;439,00;254,62;;;;;;
100123;SOCOLEC;GENIE CLIMATIQUE;11033160;00046033160;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA 3+ HYGRO B;ALDES ;1;431,00;185,33;;;;;;
100124;SOCOLEC;GENIE CLIMATIQUE;11033163;00046033163;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA 3/4 HYGRO A;ALDES ;1;439,00;254,62;;;;;;
100125;SOCOLEC;GENIE CLIMATIQUE;11033164;00046033164;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA 5+ HYGRO A;ALDES ;1;383,00;222,14;;;;;;
100126;SOCOLEC;GENIE CLIMATIQUE;11033170;00046033170;VMC SIMPLE FLUX HYGROREGLABLE KIT BAHIA MICRO WATT 3+ HYGRO B;ALDES ;1;530,00;227,90;;;;;;
100127;SOCOLEC;GENIE CLIMATIQUE;11033180;00046033180;VMC SIMPLE FLUX HYGROREGLABLE COMPACT  KIT BAHIA MICRO WATT 3+ HYGRO B;ALDES ;1;583;338,14;;;;;;
100128;SOCOLEC;GENIE CLIMATIQUE;11033640;00046033640;KIT BAHIA BAIN HYGRO B;ALDES ;1;93,70;42,02;;;;;;
100129;SOCOLEC;GENIE CLIMATIQUE;11033641;00046033641;KIT BAHIA WC  PRESENCE;ALDES ;1;81,60;45,91;;;;;;
100130;SOCOLEC;GENIE CLIMATIQUE;11052039;00046052039;GRILLE EXTERIEURE SERIE AWA 251 ALUMINIUM 300X300;ALDES ;1;70,80;47,33;;;;;;
100131;SOCOLEC;GENIE CLIMATIQUE;11052231;00046052231;TERMINAL BIM 300 D.100 BLANCHE;ALDES ;1;70,80;41,06;;;;;;
100132;SOCOLEC;GENIE CLIMATIQUE;11052232;00046052232;TERMINAL BIM 300 D.125 BLANCHE;ALDES ;1;84,00;41,06;;;;;;
100133;SOCOLEC;GENIE CLIMATIQUE;11052233;00046052233;TERMINAL BIM 300 D.160 BLANCHE;ALDES ;1;70,80;48,72;;;;;;
